dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Real Estate Brokers,brokers,8,participant_id,8724,0,0.0,8041,6,9,True,NUMBER(10),False
Real Estate Brokers,brokers,9,phone,8724,5027,57.62265,1154,1,11,True,NVARCHAR2(100),False
Real Estate Brokers,brokers,10,real_estate_broker_id,8724,0,0.0,8870,1,9,True,NUMBER(10),True
Real Estate Brokers,brokers,11,real_estate_id,8724,0,0.0,849,1,9,True,NUMBER(10),False
Real Estate Brokers,brokers,12,real_estate_number,8724,0,0.0,827,2,5,True,NUMBER,False
Real Estate Brokers,brokers,13,webpage,8724,3216,36.863824,282,1,42,True,NVARCHAR2(200),False
Real Estate Brokers,brokers,14,load_timestamp,8724,0,0.0,1,23,23,False,,False
Real Estate Licenses,licences,1,activity_name_ar,2948,0,0.0,22,9,46,True,varchar2,False
Real Estate Licenses,licences,2,activity_name_en,2948,0,0.0,25,13,58,True,varchar2,False
Real Estate Licenses,licences,3,activity_type_id,2948,0,0.0,27,1,2,True,number,True
Real Estate Licenses,licences,4,authority_id,2948,0,0.0,1746,1,9,True,number,False
Real Estate Licenses,licences,5,cancel_date,2948,2825,95.82768,60,10,10,True,date,False
Real Estate Licenses,licences,6,chamber_commerce_number,2948,237,8.039349,1263,1,6,True,number,False
Real Estate Licenses,licences,7,commerce_registry_number,2948,239,8.107191,1708,1,7,True,number,False
Real Estate Licenses,licences,8,ded_activity_code,2948,0,0.0,21,6,6,True,char,False
Real Estate Licenses,licences,9,expiry_date,2948,3,0.101764,1062,10,10,True,date,False
Real Estate Licenses,licences,10,issue_date,2948,8,0.27137,1387,10,10,True,date,False
Real Estate Licenses,licences,11,legal_type_arabic,2948,586,19.877883,6,5,18,True,nvarchar,False
Real Estate Licenses,licences,12,legal_type_english,2948,586,19.877883,7,8,15,True,nvarchar,False
Real Estate Licenses,licences,13,legal_type_id,2948,488,16.553596,10,1,7,True,number,False
Real Estate Licenses,licences,14,license_number,2948,2,0.067843,1676,1,11,True,nvarchar,False
